2019-04-14 12:50:35.387 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-14 15:25:10.391 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-14 15:25:11.242 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-14 15:25:12.390 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-14 15:25:13.243 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-14 15:25:14.390 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-14 15:25:15.242 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-14 15:25:16.390 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-14 15:25:18.390 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-14 15:26:50.090 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-14 15:26:50.095 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-14 15:27:32.525 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-14 15:27:33.742 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-14 15:27:34.311 - client : c2 with account number :10006 , transactin : 6, amount: -250 condition id: true
2019-04-14 15:27:35.742 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-14 15:27:36.310 - client : c2 with account number :10007 , transactin : 7, amount: -100 condition id: true
2019-04-14 15:27:37.742 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-14 15:27:38.311 - client : c2 with account number :10008 , transactin : 8, amount: 200 condition id: true
2019-04-14 15:27:39.741 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-14 15:27:40.311 - client : c2 with account number :10 , transactin : 9, amount: -100 condition id: true
2019-04-14 15:27:42.310 - client : c2 with account number :10010 , transactin : 10, amount: 300 condition id: true
2019-04-15 08:48:06.221 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-15 08:48:07.254 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-15 08:48:09.253 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-15 09:05:06.807 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-15 09:05:08.056 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-15 09:05:10.056 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-15 09:05:12.057 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 09:05:14.056 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-15 11:45:55.475 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-15 11:45:56.712 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-15 11:45:58.712 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-15 11:46:00.713 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 11:46:02.713 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-15 11:46:43.300 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-15 11:46:44.560 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-15 11:46:46.559 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-15 12:37:40.473 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-15 12:37:41.477 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-15 12:37:43.029 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-15 12:37:45.030 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 12:37:47.052 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-15 12:37:54.240 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-15 12:37:54.245 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-15 12:38:07.336 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-15 12:38:08.340 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-15 12:43:44.241 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-15 12:45:28.990 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-15 12:45:29.994 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-15 12:45:31.558 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-15 12:45:33.559 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 12:45:35.558 - client : c1 with account number :10005 , transactin : 5, amount: 300 condition id: true
2019-04-15 13:04:40.285 - client : c1 with account number :10006 , transactin : 1, amount: -300 condition id: true
2019-04-15 13:04:41.289 - client : c1 with account number :10002 , transactin : 2, amount: -100 condition id: false
2019-04-15 13:04:43.121 - client : c1 with account number :10003 , transactin : 3, amount: 200 condition id: true
2019-04-15 13:04:45.122 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.487 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.492 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.494 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.496 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.498 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.506 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.509 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.511 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.513 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.515 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.522 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.523 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.525 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.529 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.531 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.532 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.540 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.542 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.544 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.547 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.549 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.550 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.552 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.556 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.557 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.559 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.561 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.562 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.564 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.567 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.569 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.571 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.573 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.575 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.577 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.580 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.581 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.583 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.586 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.587 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.589 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.592 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.593 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.595 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.599 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.600 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.614 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.615 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.617 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.618 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.622 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.624 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.625 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.629 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.631 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.634 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.638 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.642 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.644 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.645 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.648 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.650 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.652 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.654 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.656 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.659 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.661 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.662 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.664 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.665 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.670 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.672 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.674 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.676 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.677 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.681 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.682 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.687 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.691 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.712 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.714 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.715 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.754 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.756 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.762 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.776 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.778 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.779 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.783 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.784 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.785 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.789 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.790 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.793 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.794 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.796 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.797 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.803 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.805 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.805 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.809 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.811 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.812 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.815 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.816 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.817 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.821 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.822 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.823 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.827 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.828 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.829 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.833 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.834 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.835 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.840 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.841 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.842 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.846 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.852 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.855 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.857 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.859 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.860 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.871 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.873 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.874 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.875 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.876 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.877 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.882 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.884 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.889 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.902 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.903 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.905 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.908 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.909 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.912 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.914 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.916 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.917 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.920 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.922 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.923 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.926 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.927 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.930 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.932 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.933 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.934 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.938 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.939 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.940 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.944 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.947 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.948 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.955 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.956 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.957 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.958 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.965 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.995 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:45.997 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.001 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.003 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.004 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.008 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.009 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.010 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.014 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.016 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.017 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.020 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.022 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.023 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.026 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.032 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.034 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.035 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.038 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.040 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.041 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.048 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.049 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.050 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.052 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.053 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.057 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.058 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.059 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.063 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
2019-04-15 13:04:46.064 - client : c1 with account number :10004 , transactin : 4, amount: -100 condition id: true
